route_no,state_name,route_name,route_ref
96,Chandigarh Transport Undertaking (CTU),Chandigarh to Ludhiana,https://www.redbus.in/bus-tickets/chandigarh-to-ludhiana
97,Chandigarh Transport Undertaking (CTU),Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
100,Chandigarh Transport Undertaking (CTU),Chandigarh to Pathankot,https://www.redbus.in/bus-tickets/chandigarh-to-pathankot
103,HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
104,HRTC,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
105,HRTC,Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh
106,HRTC,Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi
108,HRTC,Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
109,HRTC,Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala
110,HRTC,Delhi to Chamba (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-chamba-himachal-pradesh
111,HRTC,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
113,HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
114,HRTC,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
115,HRTC,Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh
116,HRTC,Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi
118,HRTC,Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
119,HRTC,Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala
120,HRTC,Delhi to Chamba (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-chamba-himachal-pradesh
121,RSRTC,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
122,RSRTC,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
123,RSRTC,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
124,RSRTC,Sikar to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/sikar-to-jaipur
125,RSRTC,Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
126,RSRTC,Aligarh (uttar pradesh) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-jaipur
127,RSRTC,Jaipur (Rajasthan) to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh
128,RSRTC,Jodhpur to Beawar (Rajasthan),https://www.redbus.in/bus-tickets/jodhpur-to-beawer
129,RSRTC,Jaipur (Rajasthan) to Pilani,https://www.redbus.in/bus-tickets/jaipur-to-pilani
130,RSRTC,Kishangarh to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kishangarh-to-jaipur
131,RSRTC,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
132,RSRTC,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
133,RSRTC,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
134,RSRTC,Sikar to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/sikar-to-jaipur
135,RSRTC,Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
136,RSRTC,Aligarh (uttar pradesh) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-jaipur
137,RSRTC,Jaipur (Rajasthan) to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh
138,RSRTC,Jodhpur to Beawar (Rajasthan),https://www.redbus.in/bus-tickets/jodhpur-to-beawer
139,RSRTC,Jaipur (Rajasthan) to Pilani,https://www.redbus.in/bus-tickets/jaipur-to-pilani
140,RSRTC,Kishangarh to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kishangarh-to-jaipur
141,UPSRTC,Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
142,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
143,UPSRTC,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
144,UPSRTC,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
145,UPSRTC,Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
146,UPSRTC,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
147,UPSRTC,Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
148,UPSRTC,Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
149,UPSRTC,Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
150,UPSRTC,Allahabad to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
151,UPSRTC,Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
152,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
153,UPSRTC,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
154,UPSRTC,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
155,UPSRTC,Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
156,UPSRTC,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
157,UPSRTC,Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
158,UPSRTC,Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
159,UPSRTC,Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
160,UPSRTC,Allahabad to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
161,APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
162,APSRTC,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
163,APSRTC,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
164,APSRTC,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
166,APSRTC,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
167,APSRTC,Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
168,APSRTC,Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
169,APSRTC,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
170,APSRTC,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
171,APSRTC,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
172,APSRTC,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
173,APSRTC,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
174,APSRTC,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
175,APSRTC,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
176,APSRTC,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
177,APSRTC,Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
178,APSRTC,Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
179,APSRTC,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
180,APSRTC,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
181,KSRTC (Kerala),Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
182,KSRTC (Kerala),Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
183,KSRTC (Kerala),Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
